,long,lat,population,commuters
1807,53.26198586,-6.49511449,5009,2992
1808,53.29294470000001,-6.30432551,2612,1496
1809,53.29307026,-6.29255914,3288,1943
1810,53.28752033,-6.27736661,4602,3105
1811,53.28970585,-6.28777826,3877,2453
1812,53.29991454,-6.27974337,3099,1975
1813,53.52550266,-6.10107294,9921,6243
1814,53.25887542,-6.45271681,4640,2632
1815,53.22232693,-6.15365623,5623,3604
1816,53.25558726,-6.10610154,3268,1769
1817,53.22286409,-6.11375218,5488,3610
1818,53.57711825,-6.11761284,8501,5319
1819,53.29518939,-6.2186193,2955,1827
1820,53.28450277,-6.21748008,3973,2412
1821,53.27762008,-6.19293977,2714,1674
1822,53.28262585,-6.2020483,3217,2113
1823,53.29585978,-6.20468825,2383,1527
1824,53.29184358,-6.19506284,2195,1419
1825,53.38831586,-6.13043918,5680,3265
1826,53.46770481,-6.25304218,7711,4867
1827,53.44719093,-6.24810224,15153,10251
1828,53.48703719,-6.23668868,10447,6769
1829,53.45825315,-6.20224284,7003,4756
1830,53.45777145,-6.2189266,2674,1558
1831,53.285007400000005,-6.3458407999999995,1538,746
1832,53.30432938,-6.391946,1692,912
1833,53.29440563,-6.41023278,8380,4019
1834,53.28836509,-6.34650965,1934,1071
1835,53.28070461,-6.4107330000000005,17824,10301
1836,53.2779187,-6.38720694,3958,1797
1837,53.30738838,-6.35061525,4386,2565
1838,53.27258871,-6.37566757,8478,4802
1839,53.29643086,-6.36629239,3996,2314
1840,53.28150741,-6.35434148,3386,1683
1841,53.28135985,-6.37120477,4579,2492
1842,53.29087305,-6.37979997,11012,5651
1843,53.29631781,-6.34527681,4956,2526
1844,53.29679636,-6.31759908,2714,1538
1845,53.30628923,-6.30907005,4856,3173
