From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95HH - CARRICKFERGUS,95HH,95UU - MOYLE,95UU,4
95HH - CARRICKFERGUS,95HH,95VV - NEWRY & MOURNE,95VV,66
95HH - CARRICKFERGUS,95HH,95WW - NEWTOWNABBEY,95WW,2497
95HH - CARRICKFERGUS,95HH,95XX - NORTH DOWN,95XX,158
95HH - CARRICKFERGUS,95HH,95YY - OMAGH,95YY,5
95HH - CARRICKFERGUS,95HH,Mainly work at or from home,95HH,1256
95HH - CARRICKFERGUS,95HH,Offshore installation,95HH,42
95HH - CARRICKFERGUS,95HH,No fixed place,95HH,1999
95HH - CARRICKFERGUS,95HH,Outside UK,95HH,48
95II - CASTLEREAGH,95II,95AA - ANTRIM,95AA,320
95II - CASTLEREAGH,95II,95BB - ARDS,95BB,751
95II - CASTLEREAGH,95II,95CC - ARMAGH,95CC,28
95II - CASTLEREAGH,95II,95DD - BALLYMENA,95DD,82
95II - CASTLEREAGH,95II,95EE - BALLYMONEY,95EE,6
95II - CASTLEREAGH,95II,95FF - BANBRIDGE,95FF,42
95II - CASTLEREAGH,95II,95GG - BELFAST,95GG,15377
95II - CASTLEREAGH,95II,95HH - CARRICKFERGUS,95HH,120
95II - CASTLEREAGH,95II,95II - CASTLEREAGH,95II,5885
95II - CASTLEREAGH,95II,95JJ - COLERAINE,95JJ,21
95II - CASTLEREAGH,95II,95KK - COOKSTOWN,95KK,8
95II - CASTLEREAGH,95II,95LL - CRAIGAVON,95LL,217
95II - CASTLEREAGH,95II,95MM - DERRY,95MM,49
95II - CASTLEREAGH,95II,95NN - DOWN,95NN,392
95II - CASTLEREAGH,95II,95OO - DUNGANNON,95OO,42
95II - CASTLEREAGH,95II,95PP - FERMANAGH,95PP,16
95II - CASTLEREAGH,95II,95QQ - LARNE,95QQ,79
95II - CASTLEREAGH,95II,95RR - LIMAVADY,95RR,1
95II - CASTLEREAGH,95II,95SS - LISBURN,95SS,1130
95II - CASTLEREAGH,95II,95TT - MAGHERAFELT,95TT,14
95II - CASTLEREAGH,95II,95UU - MOYLE,95UU,2
95II - CASTLEREAGH,95II,95VV - NEWRY & MOURNE,95VV,63
95II - CASTLEREAGH,95II,95WW - NEWTOWNABBEY,95WW,788
95II - CASTLEREAGH,95II,95XX - NORTH DOWN,95XX,678
95II - CASTLEREAGH,95II,95YY - OMAGH,95YY,8
95II - CASTLEREAGH,95II,95ZZ - STRABANE,95ZZ,2
95II - CASTLEREAGH,95II,Mainly work at or from home,95II,2428
95II - CASTLEREAGH,95II,Offshore installation,95II,19
95II - CASTLEREAGH,95II,No fixed place,95II,3369
95II - CASTLEREAGH,95II,Outside UK,95II,100
95JJ - COLERAINE,95JJ,95AA - ANTRIM,95AA,294
95JJ - COLERAINE,95JJ,95BB - ARDS,95BB,16
95JJ - COLERAINE,95JJ,95CC - ARMAGH,95CC,26
95JJ - COLERAINE,95JJ,95DD - BALLYMENA,95DD,929
95JJ - COLERAINE,95JJ,95EE - BALLYMONEY,95EE,1115
95JJ - COLERAINE,95JJ,95FF - BANBRIDGE,95FF,17
95JJ - COLERAINE,95JJ,95GG - BELFAST,95GG,824
95JJ - COLERAINE,95JJ,95HH - CARRICKFERGUS,95HH,17
95JJ - COLERAINE,95JJ,95II - CASTLEREAGH,95II,62
95JJ - COLERAINE,95JJ,95JJ - COLERAINE,95JJ,12496
95JJ - COLERAINE,95JJ,95KK - COOKSTOWN,95KK,124
95JJ - COLERAINE,95JJ,95LL - CRAIGAVON,95LL,51
95JJ - COLERAINE,95JJ,95MM - DERRY,95MM,746
95JJ - COLERAINE,95JJ,95NN - DOWN,95NN,15
95JJ - COLERAINE,95JJ,95OO - DUNGANNON,95OO,75
95JJ - COLERAINE,95JJ,95PP - FERMANAGH,95PP,53
95JJ - COLERAINE,95JJ,95QQ - LARNE,95QQ,42
95JJ - COLERAINE,95JJ,95RR - LIMAVADY,95RR,626
95JJ - COLERAINE,95JJ,95SS - LISBURN,95SS,103
95JJ - COLERAINE,95JJ,95TT - MAGHERAFELT,95TT,404
95JJ - COLERAINE,95JJ,95UU - MOYLE,95UU,402
95JJ - COLERAINE,95JJ,95VV - NEWRY & MOURNE,95VV,9
95JJ - COLERAINE,95JJ,95WW - NEWTOWNABBEY,95WW,150
95JJ - COLERAINE,95JJ,95XX - NORTH DOWN,95XX,33
95JJ - COLERAINE,95JJ,95YY - OMAGH,95YY,65
95JJ - COLERAINE,95JJ,95ZZ - STRABANE,95ZZ,29
95JJ - COLERAINE,95JJ,Mainly work at or from home,95JJ,3174
95JJ - COLERAINE,95JJ,Offshore installation,95JJ,26
95JJ - COLERAINE,95JJ,No fixed place,95JJ,3217
95JJ - COLERAINE,95JJ,Outside UK,95JJ,95
95KK - COOKSTOWN,95KK,95AA - ANTRIM,95AA,227
95KK - COOKSTOWN,95KK,95BB - ARDS,95BB,4
95KK - COOKSTOWN,95KK,95CC - ARMAGH,95CC,134
95KK - COOKSTOWN,95KK,95DD - BALLYMENA,95DD,169
95KK - COOKSTOWN,95KK,95EE - BALLYMONEY,95EE,43
95KK - COOKSTOWN,95KK,95FF - BANBRIDGE,95FF,9
95KK - COOKSTOWN,95KK,95GG - BELFAST,95GG,521
95KK - COOKSTOWN,95KK,95HH - CARRICKFERGUS,95HH,6
95KK - COOKSTOWN,95KK,95II - CASTLEREAGH,95II,29
95KK - COOKSTOWN,95KK,95JJ - COLERAINE,95JJ,219
95KK - COOKSTOWN,95KK,95KK - COOKSTOWN,95KK,5871
95KK - COOKSTOWN,95KK,95LL - CRAIGAVON,95LL,239
95KK - COOKSTOWN,95KK,95MM - DERRY,95MM,264
95KK - COOKSTOWN,95KK,95NN - DOWN,95NN,14
95KK - COOKSTOWN,95KK,95OO - DUNGANNON,95OO,1490
95KK - COOKSTOWN,95KK,95PP - FERMANAGH,95PP,44
95KK - COOKSTOWN,95KK,95QQ - LARNE,95QQ,16
95KK - COOKSTOWN,95KK,95RR - LIMAVADY,95RR,48
95KK - COOKSTOWN,95KK,95SS - LISBURN,95SS,62
95KK - COOKSTOWN,95KK,95TT - MAGHERAFELT,95TT,1143
95KK - COOKSTOWN,95KK,95UU - MOYLE,95UU,4
95KK - COOKSTOWN,95KK,95VV - NEWRY & MOURNE,95VV,22
95KK - COOKSTOWN,95KK,95WW - NEWTOWNABBEY,95WW,84
95KK - COOKSTOWN,95KK,95XX - NORTH DOWN,95XX,10
95KK - COOKSTOWN,95KK,95YY - OMAGH,95YY,278
95KK - COOKSTOWN,95KK,95ZZ - STRABANE,95ZZ,30
95KK - COOKSTOWN,95KK,Mainly work at or from home,95KK,2277
95KK - COOKSTOWN,95KK,Offshore installation,95KK,14
95KK - COOKSTOWN,95KK,No fixed place,95KK,2699
95KK - COOKSTOWN,95KK,Outside UK,95KK,68
95LL - CRAIGAVON,95LL,95AA - ANTRIM,95AA,444
95LL - CRAIGAVON,95LL,95BB - ARDS,95BB,53
95LL - CRAIGAVON,95LL,95CC - ARMAGH,95CC,1747
95LL - CRAIGAVON,95LL,95DD - BALLYMENA,95DD,118
95LL - CRAIGAVON,95LL,95EE - BALLYMONEY,95EE,6
95LL - CRAIGAVON,95LL,95FF - BANBRIDGE,95FF,1062
